Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	2556.833379	11374.140000
WET_BIOMASS	39297.770000	39297.770000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	6175.530000	6175.530000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	12731.260821	100000000.000000
RES_WIND	66881.410727	100000000.000000
RES_SOLAR	459.742633	100000000.000000
RES_HYDRO	0.000000	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
