Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	15416.654199	28214.380000
WET_BIOMASS	7594.390000	7594.390000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	2709.790000	2709.790000
H2	0.000000	0.000000
ELEC_EXPORT	32.068917	100000000.000000
CO2_EMISSIONS	5653.828092	100000000.000000
RES_WIND	29425.462221	100000000.000000
RES_SOLAR	637.085042	100000000.000000
RES_HYDRO	278.862093	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
