Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	30331.040000	30331.040000
WET_BIOMASS	9990.170000	9990.170000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	5338.170000	5338.170000
H2	0.000000	0.000000
ELEC_EXPORT	11.517508	100000000.000000
CO2_EMISSIONS	10586.413809	100000000.000000
RES_WIND	33905.643300	100000000.000000
RES_SOLAR	80821.286156	100000000.000000
RES_HYDRO	3713.479354	100000000.000000
RES_GEO	2260.080000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	1639.455706	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
