Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	65163.825399	143944.510000
WET_BIOMASS	138373.740000	138373.740000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	51241.780000	51241.780000
H2	0.000000	0.000000
ELEC_EXPORT	89.631883	100000000.000000
CO2_EMISSIONS	54009.126587	100000000.000000
RES_WIND	430643.742018	100000000.000000
RES_SOLAR	10.686198	100000000.000000
RES_HYDRO	1225.324004	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
