Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	69303.170000	69303.170000
WET_BIOMASS	133430.990000	133430.990000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	52695.530000	52695.530000
H2	0.000000	0.000000
ELEC_EXPORT	18858.538736	100000000.000000
CO2_EMISSIONS	52639.998314	100000000.000000
RES_WIND	264783.022051	100000000.000000
RES_SOLAR	877533.481598	100000000.000000
RES_HYDRO	31607.003771	100000000.000000
RES_GEO	8286.960000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	286.585644	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
